brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_year_only
7,35,1,2021,3,796.0,9171.0,2,358000,7000.0,0.0,0,2021.0
12,461,0,2019,3,1198.0,61470.0,1,713000,13936.0,0.0,0,2019.0
12,11,0,2022,3,1199.0,24933.0,1,789000,15425.0,0.0,1,2022.0
7,199,1,2020,3,1197.0,61172.0,2,541000,10582.0,0.0,0,2021.0
2,39,1,2015,3,1198.0,44993.0,1,356000,6960.0,0.0,1,2015.0
7,606,1,2013,3,1197.0,61671.0,1,282000,7424.0,0.0,1,2013.0
12,461,0,2022,3,1199.0,13124.0,1,967000,18406.0,0.0,0,2022.0
7,468,1,2020,0,998.0,18852.0,1,516000,10088.0,0.0,0,2020.0
7,105,0,2017,0,1373.0,90034.0,2,644000,12581.0,0.0,1,2017.0
7,723,0,2019,1,1248.0,59343.0,2,634000,14103.0,0.0,0,2019.0
2,39,1,2015,3,1198.0,41525.0,1,349000,6823.0,0.0,0,2015.0
3,156,1,2016,3,1591.0,45368.0,1,655000,12805.0,0.0,1,2016.0
7,119,1,2014,3,1373.0,58546.0,1,404000,8987.0,0.0,1,2014.0
3,297,1,2016,0,1197.0,57121.0,3,396000,8802.0,0.0,0,2016.0
12,629,1,2021,3,1199.0,24927.0,1,515000,10068.0,0.0,1,2021.0
6,765,1,2019,3,1197.0,39926.0,1,829000,15779.0,0.0,1,2019.0
7,607,1,2017,3,1197.0,61039.0,1,419000,8197.0,0.0,0,2017.0
4,153,1,2019,3,1368.0,59431.0,1,1149000,21877.0,0.0,1,2019.0
7,336,0,2022,3,1197.0,36051.0,1,663000,12962.0,0.0,0,2022.0
2,39,1,2016,3,1198.0,52996.0,1,410000,8017.0,0.0,0,2016.0
7,71,1,2019,0,1197.0,47849.0,2,537000,10498.0,0.0,0,2019.0
7,611,1,2015,3,1197.0,59365.0,1,372000,7269.0,0.0,1,2015.0
12,457,0,2022,1,1497.0,19703.0,1,1053000,20043.0,0.0,0,2022.0
10,378,1,2020,3,799.0,62083.0,1,356000,6960.0,0.0,0,2021.0
7,536,1,2020,3,998.0,15966.0,1,392000,7664.0,0.0,0,2020.0
3,230,1,2016,3,1197.0,74240.0,1,448000,8757.0,0.0,1,2016.0
9,395,0,2022,3,999.0,42637.0,1,795000,15538.0,0.0,0,2022.0
8,313,0,2020,3,1451.0,50365.0,2,1246000,23716.0,0.0,0,2020.0
12,629,1,2020,3,1199.0,73158.0,1,479000,9365.0,0.0,1,2021.0
3,816,1,2014,3,1197.0,78713.0,1,347000,7719.0,0.0,1,2014.0
12,445,1,2017,3,1198.0,82375.0,1,590000,11535.0,0.0,1,2017.0
7,607,1,2017,3,1197.0,23582.0,1,438000,8563.0,0.0,1,2017.0
12,637,1,2020,3,1197.0,38544.0,2,524000,10239.0,0.0,0,2021.0
3,422,1,2019,3,1086.0,49352.0,1,413000,8078.0,0.0,0,2020.0
1,213,1,2018,3,1497.0,99535.0,1,581000,11359.0,0.0,0,2018.0
10,368,1,2022,3,1197.0,26312.0,1,446000,8717.0,0.0,1,2022.0
7,203,1,2022,0,1197.0,47217.0,2,795000,15537.0,0.0,0,2022.0
7,110,0,2018,3,1373.0,46850.0,2,575000,11242.0,0.0,0,2018.0
3,810,1,2016,3,1197.0,54148.0,1,493000,9638.0,0.0,1,2016.0
2,134,0,2015,3,1497.0,39168.0,2,522000,10205.0,0.0,0,2015.0
10,378,1,2019,3,1197.0,66778.0,1,340000,6639.0,0.0,0,2020.0
5,574,1,2022,1,1493.0,23502.0,1,955000,18178.0,0.0,1,2022.0
3,180,0,2017,3,1591.0,67495.0,1,832000,15836.0,0.0,0,2017.0
7,101,0,2016,3,998.0,19759.0,1,403000,7879.0,0.0,0,2016.0
2,137,1,2015,3,1497.0,91368.0,1,497000,9716.0,0.0,0,2015.0
7,599,1,2013,3,1197.0,36536.0,1,319000,8411.0,0.0,1,2013.0
9,393,1,2021,3,999.0,42886.0,1,672000,13138.0,0.0,0,2021.0
5,580,1,2021,1,1493.0,28209.0,1,979000,18634.0,0.0,0,2021.0
7,473,1,2019,3,1197.0,19085.0,1,459000,8971.0,0.0,1,2019.0
3,714,1,2015,3,1591.0,102445.0,2,472000,10505.0,0.0,1,2015.0
7,602,1,2012,3,1197.0,51629.0,1,266000,8835.0,0.0,0,2012.0
7,747,1,2013,3,998.0,70322.0,2,229000,6031.0,0.0,1,2014.0
3,158,1,2018,3,1591.0,48108.0,1,803000,15284.0,0.0,1,2018.0
7,199,1,2020,3,1197.0,108051.0,2,552000,12281.0,0.0,0,2020.0
3,306,1,2020,3,1197.0,56215.0,1,551000,10774.0,0.0,0,2020.0
1,213,1,2018,3,1497.0,70008.0,1,652000,12756.0,0.0,1,2018.0
3,816,1,2014,3,1197.0,85321.0,1,353000,7852.0,0.0,0,2014.0
7,602,1,2012,3,1197.0,43425.0,2,251000,8337.0,0.0,1,2012.0
7,746,0,2017,3,998.0,40144.0,1,393000,7679.0,0.0,0,2017.0
7,741,1,2017,3,998.0,54614.0,1,346000,6772.0,0.0,0,2017.0
3,792,1,2018,0,1197.0,60152.0,1,476000,9309.0,0.0,0,2018.0
10,185,1,2019,1,1461.0,40838.0,1,713000,15860.0,0.0,0,2020.0
7,607,1,2017,3,1197.0,47968.0,1,408000,7976.0,0.0,1,2017.0
3,306,1,2018,3,1197.0,75742.0,1,403000,7879.0,0.0,0,2018.0
3,711,1,2013,3,1591.0,108787.0,1,374000,9854.0,0.0,0,2013.0
7,71,1,2019,3,1197.0,65533.0,1,503000,9834.0,0.0,0,2019.0
3,688,1,2020,3,998.0,43417.0,2,828000,15760.0,0.0,1,2020.0
7,71,1,2019,3,1197.0,35337.0,1,540000,10557.0,0.0,0,2019.0
